Date,Price,Open,High,Low,Vol.,Change %,Gini,Kvalue,Standard_Deviation,Skewness,Kurtosis
2011-03-07,0.9,0.9,0.9,0.8,15.27K,0.00%,0.7174825174825176,0.7769230769230769,0.0,,
2011-03-08,0.9,0.9,0.9,0.9,4.53K,0.00%,0.7217630853994491,0.7803030303030303,0.0,,
2011-03-09,0.9,0.9,0.9,0.9,4.55K,0.00%,0.7259158751696067,0.7686567164179104,0.0,,
2011-03-10,0.9,0.9,0.9,0.8,8.87K,7.91%,0.7299465240641712,0.7720588235294117,0.0,,
2011-03-11,0.9,0.9,0.9,0.9,3.73K,-5.67%,0.7338603425559949,0.7753623188405797,0.0,,
2011-03-12,0.9,0.9,0.9,0.9,4.82K,0.00%,0.7376623376623377,0.7785714285714286,0.0,,
2011-03-13,0.9,0.9,0.9,0.9,0.66K,0.00%,0.7413572343149808,0.7816901408450704,0.044721359549994774,-2.364731398259895,-1573771.49942819
2011-03-14,0.9,0.9,0.9,0.9,5.27K,0.00%,0.744949494949495,0.7847222222222222,0.05477225575051591,-2.5699842235556978,-500805.5175947717
2011-03-15,0.9,0.9,0.9,0.9,2.73K,0.00%,0.7484433374844334,0.7876712328767124,0.05477225575051605,0.7748497908689437,466025.3907440117
2011-03-16,0.9,0.9,0.9,0.8,7.93K,0.00%,0.751842751842752,0.7905405405405406,0.07071067811865454,0.12514976745957596,217610.91450771925
2011-03-17,0.8,0.9,0.9,0.8,7.16K,0.00%,0.7420289855072464,0.78,0.04472135954999561,-1.1359400255547494,644342.3926366323
2011-03-18,0.8,0.8,0.9,0.7,14.23K,0.00%,0.7454233409610984,0.7828947368421053,0.04472135954999561,-1.1359400255547494,644342.3926366323
2011-03-19,0.8,0.8,0.8,0.7,9.88K,-6.31%,0.748729531338227,0.7857142857142858,0.04472135954999561,-1.1359400255547494,644342.3926366323
2011-03-20,0.7,0.8,0.8,0.7,5.82K,0.00%,0.7393162393162394,0.7884615384615384,0.07071067811865454,0.12514976745957596,92610.95548590248
2011-03-21,0.8,0.7,0.8,0.7,3.70K,0.00%,0.730126582278481,0.7784810126582278,0.05477225575051605,0.7748497908689437,466025.3907440117
2011-03-22,0.8,0.8,0.8,0.7,12.15K,6.59%,0.7335,0.78125,0.054772255750515954,1.2420137317177913,1192787.7836001052
2011-03-23,0.8,0.8,0.9,0.8,13.26K,0.00%,0.7367901234567902,0.7839506172839505,0.054772255750515954,0.4681686919074781,43957.136071075576
2011-03-24,0.9,0.8,0.9,0.8,14.01K,0.00%,0.727954971857411,0.774390243902439,0.054772255750515954,-3.3438436775118356,-1649664.6970443393
2011-03-25,0.9,0.9,0.9,0.9,4.82K,0.00%,0.7312326227988879,0.7771084337349398,0.05477225575051605,0.0009975440416528966,-682822.9134659591
2011-03-26,0.9,0.9,0.9,0.8,11.76K,0.00%,0.7344322344322345,0.7797619047619048,0.04472135954999527,2.2372916135461027,-242971.70960438353
2011-03-27,0.8,0.9,0.9,0.8,5.34K,0.00%,0.7259259259259259,0.7823529411764706,0.0,,
2011-03-28,0.8,0.8,0.9,0.8,12.57K,0.00%,0.7291128337639966,0.7732558139534884,0.0,,
2011-03-29,0.8,0.8,0.8,0.8,4.22K,0.00%,0.7322264793529163,0.7758620689655172,0.0,,
2011-03-30,0.8,0.8,0.8,0.8,3.22K,0.00%,0.7352693602693603,0.7784090909090908,0.0,,
2011-03-31,0.8,0.8,0.8,0.8,6.88K,0.00%,0.7382438618393675,0.7808988764044944,0.04472135954999557,-1.1359400255547494,644342.3926366323
2011-04-01,0.8,0.8,0.8,0.8,3.19K,0.00%,0.7411522633744856,0.7833333333333333,0.05477225575051656,-0.06191544854040411,498077.70934786793
2011-04-02,0.8,0.8,0.8,0.8,2.49K,0.00%,0.7439967439967441,0.7857142857142857,0.05477225575051664,1.7638251265312808,845302.6838719054
2011-04-03,0.8,0.8,0.8,0.8,3.93K,0.00%,0.7467793880837359,0.7880434782608696,0.05477225575051664,1.7638251265312808,845302.6838719054
2011-04-04,0.7,0.8,0.8,0.6,31.16K,-12.71%,0.7388632872503841,0.7903225806451613,0.05477225575051664,1.7638251265312808,845302.6838719054
2011-04-05,0.7,0.7,0.7,0.6,9.73K,0.00%,0.7416413373860182,0.7819148936170213,0.05477225575051664,1.7638251265312808,845302.6838719054
2011-04-06,0.7,0.7,0.8,0.7,8.70K,0.00%,0.7443609022556391,0.7842105263157895,0.05477225575051664,0.2161278399216439,-584360.4516245943
2011-04-07,0.8,0.7,0.8,0.7,10.83K,0.00%,0.7367097701149425,0.7864583333333333,0.05477225575051656,-0.8357640918452226,-650777.0252240552
2011-04-08,0.8,0.8,0.8,0.7,18.21K,0.00%,0.7394241023817989,0.788659793814433,0.08366600265340748,0.1124775950565917,-193087.57004252076
2011-04-09,0.7,0.8,0.8,0.7,12.12K,0.00%,0.7319727891156463,0.7806122448979591,0.09999999999999991,-0.038662295022373706,-25845.10505086642
2011-04-10,0.7,0.7,0.8,0.7,5.35K,0.00%,0.7346801346801348,0.7828282828282829,0.11401754250991362,-0.19662676958306882,51435.8871113119
2011-04-11,0.8,0.7,0.8,0.7,14.65K,0.00%,0.7274193548387098,0.775,0.08366600265340719,-0.22886194980716754,99503.4569250554
2011-04-12,0.9,0.8,0.9,0.8,48.42K,11.69%,0.7202970297029703,0.7772277227722773,0.05477225575051594,-0.893383701666365,-331298.3511952735
2011-04-13,0.9,0.9,1.0,0.9,43.40K,7.27%,0.7230392156862746,0.7794117647058824,0.07071067811865414,0.3691360574487376,323315.38224180054
2011-04-14,1.0,0.9,1.0,0.9,31.11K,8.40%,0.7160929685201531,0.7718446601941747,0.08944271909999087,0.9381078280773327,-240177.63298084296
