Time, I, Bit coin,Price
0, 0.215334, 27.863705, 0.472306
1, 0.387184, 15.496490, 0.472306
2, 0.415699, 14.433511, 0.472306
3, 0.661022, 9.076858, 0.472306
4, 0.556712, 10.777558, 0.472306
5, 0.735877, 8.153534, 0.472306
6, 0.659531, 9.097378, 0.472306
7, 0.744348, 8.060748, 0.472270
8, 0.731269, 8.204917, 0.472527
9, 0.737691, 8.133483, 0.472557
10, 0.714603, 8.396271, 0.472624
11, 0.706218, 8.495958, 0.472623
12, 0.689008, 8.708170, 0.472623
13, 0.696959, 8.608825, 0.472632
14, 0.678550, 8.842382, 0.472632
15, 0.653726, 9.178154, 0.472609
16, 0.651524, 9.209175, 0.472695
17, 0.643055, 9.330457, 0.472613
18, 0.638904, 9.391087, 0.472624
19, 0.614101, 9.770377, 0.472624
20, 0.625293, 9.595500, 0.472624
21, 0.619910, 9.678818, 0.472624
22, 0.604452, 9.926348, 0.472894
23, 0.588131, 10.201808, 0.472894
24, 0.590020, 10.169142, 0.472908
25, 0.599742, 10.004306, 0.472908
26, 0.578007, 10.380492, 0.472888
27, 0.569621, 10.533328, 0.472824
28, 0.544655, 11.016154, 0.472854
29, 0.564413, 10.630512, 0.472854
30, 0.561369, 10.688154, 0.472872
31, 0.538132, 11.149672, 0.472873
32, 0.535980, 11.194454, 0.472880
33, 0.526047, 11.405823, 0.472938
34, 0.524677, 11.435612, 0.472941
35, 0.521319, 11.509260, 0.473011
36, 0.530115, 11.318302, 0.473012
37, 0.510864, 11.744807, 0.473024
38, 0.501566, 11.962537, 0.472999
39, 0.499018, 12.023613, 0.473013
40, 0.501250, 11.970084, 0.473013
41, 0.499804, 12.004718, 0.473042
42, 0.498025, 12.047590, 0.473143
43, 0.499302, 12.016787, 0.473143
44, 0.496813, 12.076968, 0.473141
45, 0.488273, 12.288209, 0.473203
46, 0.480368, 12.490422, 0.473028
47, 0.485447, 12.359738, 0.473029
48, 0.472947, 12.686421, 0.473028
49, 0.482067, 12.446395, 0.473010
50, 0.470894, 12.741722, 0.473010
51, 0.459711, 13.051677, 0.472999
52, 0.460889, 13.018332, 0.472999
53, 0.462115, 12.983784, 0.472996
54, 0.466496, 12.861845, 0.473008
55, 0.448206, 13.386688, 0.473008
56, 0.449242, 13.355835, 0.473011
57, 0.439117, 13.663773, 0.472998
58, 0.447892, 13.396073, 0.472998
59, 0.445317, 13.473560, 0.472991
60, 0.448269, 13.384806, 0.472991
61, 0.438534, 13.681952, 0.472991
62, 0.432375, 13.876847, 0.472991
63, 0.438271, 13.690159, 0.472907
64, 0.428565, 14.000218, 0.472921
65, 0.430817, 13.927016, 0.472921
66, 0.432297, 13.879342, 0.472921
67, 0.421211, 14.244629, 0.472934
68, 0.420404, 14.271984, 0.472952
69, 0.422990, 14.184721, 0.472952
