Time, I, Bit coin,Price
159, 0.236635, 25.355457, 0.542493
160, 0.251151, 23.890009, 0.542493
161, 0.254347, 23.589817, 0.542493
162, 0.244848, 24.504988, 0.542493
163, 0.246550, 24.335787, 0.542475
164, 0.237179, 25.297319, 0.542475
165, 0.245202, 24.469599, 0.542475
166, 0.242170, 24.776033, 0.542475
167, 0.246805, 24.310677, 0.542475
168, 0.227233, 26.404665, 0.542475
169, 0.246388, 24.351812, 0.542541
170, 0.243441, 24.646595, 0.542541
171, 0.230469, 26.033903, 0.542541
172, 0.226707, 26.465919, 0.542567
173, 0.240275, 24.971348, 0.542656
174, 0.232979, 25.753344, 0.542640
175, 0.236523, 25.367481, 0.542640
176, 0.234932, 25.539316, 0.542640
177, 0.229451, 26.149368, 0.542640
178, 0.223844, 26.804428, 0.542640
179, 0.220559, 27.203547, 0.542662
180, 0.215716, 27.814335, 0.542617
181, 0.242935, 24.698009, 0.542617
182, 0.231260, 25.944878, 0.542617
183, 0.225330, 26.627584, 0.542617
184, 0.224816, 26.688543, 0.542617
185, 0.207998, 28.846401, 0.542617
186, 0.223498, 26.845894, 0.542590
187, 0.202977, 29.559982, 0.542565
188, 0.227171, 26.411867, 0.542565
189, 0.215264, 27.872740, 0.542565
190, 0.197564, 30.369884, 0.542566
191, 0.225632, 26.591993, 0.542566
192, 0.213193, 28.143473, 0.542556
193, 0.208439, 28.785410, 0.542556
194, 0.205223, 29.236530, 0.542556
195, 0.204971, 29.272377, 0.542566
196, 0.203065, 29.547157, 0.542566
197, 0.207386, 28.931568, 0.542566
198, 0.206900, 28.999489, 0.542566
199, 0.201973, 29.706942, 0.542566
200, 0.191785, 31.284979, 0.542373
201, 0.196345, 30.558506, 0.542373
202, 0.199904, 30.014387, 0.542373
203, 0.200601, 29.910089, 0.542379
204, 0.204418, 29.351606, 0.542379
205, 0.187413, 32.014771, 0.542370
206, 0.189698, 31.629242, 0.542370
207, 0.194947, 30.777615, 0.542370
208, 0.189672, 31.633610, 0.542399
209, 0.194092, 30.913198, 0.542399
210, 0.207444, 28.923500, 0.542399
211, 0.188630, 31.808300, 0.542399
212, 0.177372, 33.827259, 0.542399
213, 0.197172, 30.430231, 0.542420
214, 0.196583, 30.521402, 0.542420
215, 0.184777, 32.471512, 0.542363
216, 0.189336, 31.689657, 0.542367
217, 0.195533, 30.685417, 0.542367
218, 0.176839, 33.929264, 0.542339
219, 0.188624, 31.809290, 0.542339
220, 0.194958, 30.775816, 0.542339
221, 0.166326, 36.073639, 0.542474
222, 0.174812, 34.322529, 0.542403
223, 0.180524, 33.236565, 0.542410
224, 0.175206, 34.245415, 0.542410
225, 0.179905, 33.350979, 0.542410
226, 0.178781, 33.560543, 0.542410
227, 0.161574, 37.134750, 0.542412
228, 0.175600, 34.168594, 0.542413
229, 0.174533, 34.377403, 0.542441
230, 0.168394, 35.630726, 0.542441
231, 0.168053, 35.703075, 0.542441
232, 0.176327, 34.027725, 0.542441
233, 0.160376, 37.412048, 0.542401
234, 0.161295, 37.198978, 0.542402
235, 0.163886, 36.610806, 0.542402
236, 0.169216, 35.457722, 0.542402
237, 0.167925, 35.730244, 0.542402
238, 0.169963, 35.301895, 0.542402
239, 0.167542, 35.811874, 0.542390
240, 0.167050, 35.917347, 0.542342
241, 0.161976, 37.042599, 0.542416
242, 0.145466, 41.246693, 0.542416
243, 0.162280, 36.973198, 0.542416
244, 0.153494, 39.089386, 0.542416
245, 0.161218, 37.216759, 0.542416
246, 0.145045, 41.366528, 0.542436
247, 0.146720, 40.894348, 0.542436
248, 0.151617, 39.573368, 0.542436
249, 0.145585, 41.213139, 0.542436
250, 0.139776, 42.925827, 0.542372
251, 0.150890, 39.764072, 0.542372
252, 0.151289, 39.659180, 0.542370
253, 0.145231, 41.313580, 0.542370
254, 0.139181, 43.109344, 0.542370
255, 0.138273, 43.392418, 0.542370
256, 0.148562, 40.387203, 0.542370
257, 0.150142, 39.962051, 0.542364
258, 0.138550, 43.305614, 0.542363
259, 0.128132, 46.826530, 0.542363
260, 0.140740, 42.631741, 0.542363
261, 0.129284, 46.409405, 0.542363
262, 0.145053, 41.364273, 0.542363
263, 0.128942, 46.532406, 0.542363
264, 0.139170, 43.112793, 0.542363
265, 0.139914, 42.883572, 0.542363
266, 0.126055, 47.598179, 0.542373
267, 0.138735, 43.248058, 0.542373
268, 0.130845, 45.855740, 0.542374
269, 0.128000, 46.875172, 0.542373
270, 0.140757, 42.626556, 0.542369
271, 0.134504, 44.608337, 0.542347
272, 0.129887, 46.193920, 0.542347
273, 0.123089, 48.745201, 0.542317
274, 0.126197, 47.544804, 0.542317
275, 0.132058, 45.434742, 0.542288
276, 0.119058, 50.395538, 0.542287
277, 0.123922, 48.417416, 0.542287
278, 0.109875, 54.607357, 0.542287
279, 0.123454, 48.601208, 0.542287
280, 0.116542, 51.483639, 0.542287
281, 0.114844, 52.244759, 0.542288
282, 0.112693, 53.241909, 0.542287
283, 0.107935, 55.589031, 0.542287
284, 0.115804, 51.811726, 0.542287
285, 0.109051, 55.020355, 0.542287
286, 0.119501, 50.208649, 0.542287
287, 0.104170, 57.598354, 0.542287
288, 0.122276, 49.069485, 0.542242
289, 0.107784, 55.666695, 0.542242
290, 0.099720, 60.168236, 0.542242
291, 0.108574, 55.261749, 0.542242
292, 0.107479, 55.825115, 0.542242
